gene,log2FC,p_value,p_adj
ENSG00000172201,1.835516679917129,1.0416596347299279e-7,0.005236110485896928
ENSG00000271559,-1.6351542279222375,1.7996920609467396e-6,0.09046512082760975
ENSG00000229715,1.2506519524711401,2.953432001550623e-6,0.14846016642194518
ENSG00000178695,1.1111987917047652,4.365046605689758e-6,0.21941779772820705
ENSG00000164111,1.286736005246841,4.571634656566958e-6,0.22980235928165127
ENSG00000266258,2.19321078619072,6.820557611449132e-6,0.3428489694547135
ENSG00000199676,-1.7431606449426211,1.345957481079324e-5,0.6765724470141438
ENSG00000160588,1.1920840989382397,1.3895026006367973e-5,0.6984612722620989
ENSG00000218418,1.0963018708867445,1.5442661612265427e-5,0.7762562712637462
ENSG00000254527,-1.1387695411756626,1.5670667688356018e-5,0.7877174526905919
ENSG00000227303,-2.0147304282398473,1.673343286002096e-5,0.8411394695746736
ENSG00000000003,0.4251971989815724,0.18822364588853768,1
ENSG00000000005,0.8908155128205646,0.04473977274389401,1
ENSG00000000419,1.0079592372370207,0.05679976203521179,1
ENSG00000000457,-0.4332629154717962,0.1941970457814397,1
ENSG00000000460,0.29551406218674847,0.21016370658586672,1
ENSG00000000938,-0.127050805835907,0.7474902999725985,1
ENSG00000000971,0.2793224775680372,0.22878934310013657,1
ENSG00000001036,0.6352130598039203,0.11622653708806877,1
ENSG00000001084,-0.016753448770111312,0.9484440557362438,1
ENSG00000001167,0.368771397512035,0.3234384403200945,1
ENSG00000001460,0.6915183276861909,4.6015865104659555e-4,1
ENSG00000001461,0.16551531283538123,0.40985314559091235,1
ENSG00000001497,0.008783089649359255,0.9674401769347056,1
ENSG00000001561,0.4595030863877363,0.1931636094462589,1
ENSG00000001617,0.35289004578704786,0.3051534023488268,1
ENSG00000001626,-0.030769927386666396,0.908139607488087,1
ENSG00000001629,-0.038943467058759396,0.8763900685499255,1
ENSG00000001630,0.298435382288997,0.332619135043844,1
ENSG00000001631,0.4480617577562862,0.1323722397408468,1
ENSG00000002016,0.49413485601125817,0.09259931564751911,1
ENSG00000002079,0.24924422700454674,0.29743063816861054,1
ENSG00000002330,1.1947403434906223,0.00717279440402241,1
ENSG00000002549,0.6578758441055177,0.027108553955866137,1
ENSG00000002586,-0.43246899052238197,0.18012633865087824,1
ENSG00000002587,0.09517446473308233,0.6153666077032728,1
ENSG00000002726,-0.365342028977802,0.36084170619417344,1
ENSG00000002745,-0.09145437048621519,0.8194879943607275,1
ENSG00000002746,0.1375886590040314,0.46785123312448895,1
ENSG00000002822,-0.2853193800309053,0.333287262823894,1
ENSG00000002834,-0.5836506293710664,0.061610484287767046,1
ENSG00000002919,0.507767753965978,0.2129278576274495,1
ENSG00000002933,0.048216682056531734,0.895514846060055,1
ENSG00000003056,0.37653787767383484,0.3160816405180778,1
ENSG00000003096,0.7462191866824397,0.0020709929578357814,1
ENSG00000003137,-0.031291258277346135,0.9214310873016429,1
ENSG00000003147,0.6558187104420163,0.021905960673714822,1
ENSG00000003249,-0.5369440057732708,0.10885573388286053,1
ENSG00000003393,0.06593468905232669,0.7152888920598441,1
ENSG00000003400,0.32565155191065465,0.11914732667081966,1
ENSG00000003402,0.20495427733998017,0.21227432074383967,1
ENSG00000003436,0.017694433058504266,0.9067600226396926,1
ENSG00000003509,0.35541758188497896,0.23507484388989697,1
ENSG00000003756,-0.03892856162560765,0.8523411036735193,1
ENSG00000003987,0.4118298845419752,0.10509409899883176,1
ENSG00000003989,0.2195854580505845,0.24388008868371797,1
ENSG00000004059,-0.3059911264380839,0.44438738495860164,1
ENSG00000004139,0.26859377074794466,0.26149229962167164,1
ENSG00000004142,0.41462257723657325,0.3304198436189808,1
ENSG00000004399,0.03537943294570356,0.8792330480614245,1
ENSG00000004455,0.2940675639940604,0.33640742197101814,1
ENSG00000004468,0.07786341726984913,0.803259143920612,1
ENSG00000004478,0.28878651656003207,0.43350995131541636,1
ENSG00000004487,-0.1102923988221236,0.72679173138804,1
ENSG00000004534,-0.03743341511293252,0.870192918200736,1
ENSG00000004660,0.34298770195519035,0.17099176916339556,1
ENSG00000004700,0.2753427167183582,0.4412704055466343,1
ENSG00000004766,0.13237007822865987,0.43346874694460136,1
ENSG00000004776,-0.02147013700273459,0.9588186785908588,1
ENSG00000004777,-0.058681254530164484,0.8690194626750876,1
ENSG00000004779,0.6473169874796523,0.22683421490180944,1
ENSG00000004799,-0.28495941131170754,0.4568334709261045,1
ENSG00000004809,-0.11890406097665496,0.7395535161681259,1
ENSG00000004838,0.04634714463078149,0.9012894340648904,1
ENSG00000004846,-0.19433150375728125,0.23992394408313653,1
ENSG00000004848,-0.3309190861003253,0.3736926565132578,1
ENSG00000004864,-0.42404751983262745,0.2703732237538244,1
ENSG00000004866,0.5982025833383613,0.010761471512599683,1
ENSG00000004897,0.4735941956668328,0.024399926185457096,1
ENSG00000004939,-0.0894380668482948,0.7880428765519,1
ENSG00000004948,0.2669992456938246,0.4010271029458894,1
ENSG00000004961,0.24986001825447035,0.5122672824453227,1
ENSG00000004975,0.2636676444206727,0.41889391229897766,1
ENSG00000005001,0.2485473820841564,0.4982114775883717,1
ENSG00000005007,0.5642870512419647,0.031930719224411305,1
ENSG00000005020,0.8890638202493522,3.102522713036384e-4,1
ENSG00000005022,0.3002372941824789,0.5313639820272653,1
ENSG00000005059,0.013162123191668762,0.9644775852305676,1
ENSG00000005073,-0.13338686441507308,0.7691339614197732,1
ENSG00000005075,0.059162594065248764,0.8386892836663913,1
ENSG00000005100,-0.31397939424581844,0.24280650806817897,1
ENSG00000005102,0.08755971233833515,0.8202110830822376,1
ENSG00000005108,0.08921946353651133,0.6011425738704518,1
ENSG00000005156,-0.02031841554498426,0.9235953010841109,1
ENSG00000005175,0.47337779443503525,0.021863869981566714,1
ENSG00000005187,0.06826792155583172,0.7721153728102966,1
ENSG00000005189,0.3235978361954688,0.23828685195330757,1
ENSG00000005194,0.003974586053273832,0.990919159097331,1
ENSG00000005206,-0.07471009702997522,0.8102476311071738,1
ENSG00000005238,-0.06329982561020309,0.8241261744971802,1
ENSG00000005243,0.36632826668016705,0.4127097145441261,1
ENSG00000005249,0.32413680491962493,0.31987318506482776,1
ENSG00000005302,0.2376944795701461,0.2735779177746137,1
ENSG00000005339,0.35367749758340183,0.027976761012575523,1
ENSG00000005379,-0.06000519903758139,0.7796212559498166,1
ENSG00000005381,0.46684855015620075,0.14888852901983154,1
ENSG00000005421,-0.028999225411522556,0.9384391157359812,1
ENSG00000005436,0.6316153802773883,0.019122941878674672,1
ENSG00000005448,0.3404972355215108,0.43011777180413857,1
ENSG00000005469,0.3967934851062793,0.06653388978634933,1
ENSG00000005471,0.0875923872472053,0.7480059367574079,1
ENSG00000005483,0.019845515136190706,0.9113067735554792,1
ENSG00000005486,0.8257871404733121,0.04587876086761715,1
ENSG00000005513,0.2919972978799086,0.4051630134224352,1
ENSG00000005700,0.42554667808584856,0.015453616385537064,1
ENSG00000005801,0.2131335955599356,0.4552136604273467,1
ENSG00000005810,0.018762889319236642,0.8919535823832123,1
ENSG00000005812,0.6460280423640112,0.006586840736577917,1
ENSG00000005844,0.6819710677124879,0.008422008763575009,1
ENSG00000005882,0.12404296974485307,0.7204601401414279,1
ENSG00000005884,0.15564404806058718,0.35919897659608957,1
ENSG00000005889,0.2685501289578638,0.13705440415812117,1
ENSG00000005893,0.12909053052558805,0.5870186285280741,1
ENSG00000005961,0.27552716439575375,0.352557095749352,1
ENSG00000005981,-0.01788243350559915,0.9507514317343625,1
ENSG00000006007,0.1557571862419458,0.6786757164343201,1
ENSG00000006015,0.4479870531583958,0.22064815544331182,1
ENSG00000006016,0.3582957621266476,0.331512092652093,1
ENSG00000006025,0.17137384561955837,0.5774047760917208,1
ENSG00000006042,-5.754472437136116e-4,0.9983298344939406,1
ENSG00000006047,0.34573993349605825,0.32215792909308877,1
ENSG00000006059,-0.14748012345855877,0.7632893399353964,1
ENSG00000006062,-0.5077646391636048,0.14279559424295318,1
ENSG00000006071,0.2990711700345261,0.2183759488341403,1
ENSG00000006116,-0.10826526420012872,0.7644527499810572,1
ENSG00000006118,-0.2722741858093829,0.3210783623032316,1
ENSG00000006125,0.3514053192804112,0.07297708426905754,1
ENSG00000006128,0.6064631712006312,0.1888589973370126,1
ENSG00000006194,0.4638475686495329,0.10591883994292477,1
ENSG00000006210,0.5894484214505278,0.05680707313632291,1
ENSG00000006282,0.20708103545840473,0.5245840604052865,1
ENSG00000006283,-0.023359281844741897,0.9181018742909195,1
ENSG00000006327,0.5988225697890555,0.08792264261284226,1
ENSG00000006377,0.7986545750796852,0.031042299395189845,1
ENSG00000006432,0.001969850865610745,0.9916028815253036,1
ENSG00000006451,0.5404365486520413,0.06998020990536108,1
ENSG00000006453,0.011658747003518766,0.9684353851758902,1
ENSG00000006459,0.2414180137228188,0.23109262293061728,1
ENSG00000006468,0.2375306316315724,0.19291285885024248,1
ENSG00000006530,0.26185897927375157,0.31875771529320285,1
ENSG00000006534,-0.2795926944571683,0.4013176489551782,1
ENSG00000006555,0.3568426704690819,0.15947711906465886,1
ENSG00000006576,0.2467866037019233,0.22905971103192216,1
ENSG00000006606,1.4542912061335578,0.012457281281296502,1
ENSG00000006607,0.23014743418210237,0.1388342640408705,1
ENSG00000006611,-0.09339611299362982,0.7902451501091206,1
ENSG00000006625,-0.06074889343375345,0.9055042659045658,1
ENSG00000006634,0.23627553633048626,0.4281730280260808,1
ENSG00000006638,0.679882753202268,0.09844328819889972,1
ENSG00000006652,0.7419162759404991,7.170091837171755e-4,1
ENSG00000006659,0.7103325448245683,0.15637980028048884,1
ENSG00000006695,0.2824859613922346,0.45626444949046485,1
ENSG00000006704,0.4025205592227694,0.2043950320608179,1
ENSG00000006712,0.1082391354737462,0.783121152717075,1
ENSG00000006715,0.042658966707592505,0.852034860729741,1
ENSG00000006740,-0.23666976919538252,0.3180089920433563,1
ENSG00000006744,0.27905294869440533,0.28387829509631146,1
ENSG00000006747,0.0983399774741196,0.597904650464242,1
ENSG00000006756,0.31608733188102134,0.2266039918259763,1
ENSG00000006757,0.08717017815283823,0.7972044319837899,1
ENSG00000006788,0.28835350846184227,0.20419733475443025,1
ENSG00000006831,-0.14555375130206638,0.5897162913827587,1
ENSG00000006837,0.14492610226968683,0.6765797102908853,1
ENSG00000007001,0.4848787184859513,0.15973214512306608,1
ENSG00000007038,0.1620285880066139,0.7128921526586585,1
ENSG00000007047,0.44108897649632706,0.11270116838759048,1
ENSG00000007062,0.18274871074012333,0.5121182956185371,1
ENSG00000007080,0.936676751489832,0.04078210482593392,1
ENSG00000007129,0.35659890597056965,0.376450587796185,1
ENSG00000007168,0.022235604516728458,0.9307594287161076,1
ENSG00000007171,0.6015743321870621,0.034885061238805415,1
ENSG00000007174,-0.06118130268270061,0.6712911575001088,1
ENSG00000007202,0.3882376525004423,0.10952827317991459,1
ENSG00000007216,-0.47931695410965913,0.29093267128247585,1
ENSG00000007237,0.20801131832887565,0.24691768649348564,1
ENSG00000007255,-0.3862618135615027,0.3837105018202086,1
ENSG00000007264,0.6625842647080527,0.06166657037045827,1
ENSG00000007306,0.48673586576412076,0.2727447096102737,1
ENSG00000007312,0.4598092946025323,0.312128024490455,1
ENSG00000007314,0.13964212405535825,0.5192745647114329,1
ENSG00000007341,-0.0376740667710429,0.8872060075512769,1
ENSG00000007350,0.3490563095549768,0.3322188880689523,1
ENSG00000007372,0.05214071483834237,0.7777581761716867,1
ENSG00000007376,0.19216022753336215,0.5619652461024018,1
ENSG00000007384,0.06936083543894966,0.8364352594428892,1
ENSG00000007392,0.45142528300058826,0.13009539712716087,1
ENSG00000007402,-0.02288268582968689,0.9422434679790321,1
ENSG00000007516,0.5478273771970976,0.08745760479355719,1
ENSG00000007520,-0.4357901564608544,0.2360452001719871,1
ENSG00000007541,0.38114612045340124,0.25812015965537055,1
ENSG00000007545,0.437196648788136,0.10554082637863489,1
ENSG00000007866,0.5914374759225876,0.10150087311540629,1
ENSG00000007908,0.11489207406670277,0.6909104395462975,1
ENSG00000007923,0.3428543054806634,0.22453597346341128,1
ENSG00000007933,0.002328128937386431,0.9948061076818975,1
ENSG00000007944,0.21631795534763754,0.552616799577257,1
ENSG00000007952,6.350003882644728e-4,0.9988050801799587,1
ENSG00000007968,0.34055267602583505,0.2492403050590361,1
ENSG00000008018,0.9661787145730392,0.03913744478098115,1
ENSG00000008056,0.41900329395033564,0.24378686597234756,1
ENSG00000008083,0.2623895597757979,0.4281234493387551,1
ENSG00000008086,0.24485771303752424,0.15471667845100606,1
ENSG00000008118,0.7997094436979353,0.052461619952616244,1
ENSG00000008130,0.15310512609043148,0.5890470695592662,1
ENSG00000008196,0.3139822537508312,0.1936173779937175,1
ENSG00000008197,0.5487931998617981,0.19099478499664244,1
ENSG00000008226,0.265833184422001,0.2725612982266401,1
ENSG00000008256,-0.11169601265281193,0.7145380147537106,1
ENSG00000008277,0.2338397067708451,0.15241586364430826,1
ENSG00000008282,0.03495678143946401,0.9311842842173444,1
ENSG00000008283,-0.0712804065249455,0.8325414546404168,1
ENSG00000008294,0.434158775120689,0.029905910674142052,1
ENSG00000008300,0.3736151285538787,0.10127441314053605,1
ENSG00000008311,0.20933202473372692,0.26340268933640804,1
ENSG00000008323,-0.04731694255014007,0.8960596875222872,1
ENSG00000008324,0.45080325767856455,0.38135680623266843,1
ENSG00000008382,0.37580854583834256,0.3284504661722114,1
ENSG00000008394,0.335670829002666,0.11813035656923836,1
ENSG00000008405,0.5789070538548406,0.04359185087377576,1
ENSG00000008438,-0.876817881764492,0.008101165015074909,1
ENSG00000008441,0.007360408373279004,0.9838253618296644,1
ENSG00000008513,0.12441078723329246,0.5828516325915475,1
ENSG00000008516,0.35300950799751285,0.29141737270643886,1
ENSG00000008517,0.10864105067106555,0.7729540108200119,1
ENSG00000008710,-0.25332863510782544,0.17039822081774755,1
ENSG00000008735,0.5030107888738606,0.09603491184100203,1
ENSG00000008838,-0.04250015925374351,0.8743396690536449,1
ENSG00000008853,0.05860304211631995,0.8534575577163315,1
ENSG00000008869,0.3442538877121395,0.03763404774817317,1
ENSG00000008952,0.33848499060713255,0.04032398428888898,1
ENSG00000008988,0.36195182851574836,0.31240689706319985,1
ENSG00000009307,-0.19399505941713446,0.29756727658905585,1
ENSG00000009335,0.12219151157084829,0.5000044684254983,1
ENSG00000009413,0.07109861160048947,0.6982169210487785,1
ENSG00000009694,0.005754219278251149,0.9734443996229802,1
ENSG00000009709,0.001117582228592262,0.9970376172032152,1
ENSG00000009724,-0.06655705062422035,0.8413556801473145,1
ENSG00000009765,0.07336146513727204,0.6796804823363017,1
ENSG00000009780,0.5565622255130842,0.09224067451731303,1
ENSG00000009790,0.18064080835136975,0.39862528073862535,1
ENSG00000009830,0.2049503670134647,0.2960274229259823,1
ENSG00000009844,0.5088598211045943,0.047712407922508776,1
ENSG00000009950,-0.5910400426396651,0.09699764359145709,1
ENSG00000009954,0.1524387487545784,0.45420422031920593,1
ENSG00000010017,0.21353814019818085,0.5791758504338806,1
ENSG00000010030,-0.2566921078629534,0.5248625010081462,1
ENSG00000010072,0.22511695285433397,0.4693366096258592,1
ENSG00000010165,0.5070163976256574,0.13207284868067187,1
ENSG00000010219,-0.012364632081466986,0.9568354261506689,1
ENSG00000010244,0.11766151478682252,0.46409022930188804,1
ENSG00000010256,-0.3476561305044128,0.403303321200158,1
ENSG00000010270,-0.10674396255090057,0.7369253777999931,1
ENSG00000010278,0.10457701769350125,0.7838031582017777,1
ENSG00000010282,-0.2391594938427779,0.5886572905242804,1
ENSG00000010292,0.16565456752015928,0.5301173895824465,1
ENSG00000010295,0.23713744496047529,0.5329990852173871,1
ENSG00000010310,-0.33422211096052035,0.28978544234879633,1
ENSG00000010318,0.49227280341932644,0.13845844479315422,1
ENSG00000010319,-0.3441143073615578,0.3478562184878152,1
ENSG00000010322,0.17347059929064246,0.47874139845109276,1
ENSG00000010327,-0.07007502035894841,0.7744328768194655,1
ENSG00000010361,0.1908029844446384,0.6403486302091497,1
ENSG00000010379,0.0659932999380004,0.8610556368793376,1
ENSG00000010404,0.20473137578029865,0.42734689035763707,1
ENSG00000010438,0.05236668692914703,0.9117839249798445,1
ENSG00000010539,0.1869856040361264,0.4303762214655429,1
ENSG00000010610,-0.2432733689065496,0.47538754216021284,1
ENSG00000010626,0.2575324381866695,0.5227430104582425,1
ENSG00000010671,0.10027799192933351,0.7421194437125851,1
ENSG00000010704,-0.1360534017554227,0.704738819954912,1
ENSG00000010803,-0.12428949716147297,0.72460891940679,1
ENSG00000010810,0.4417349107215425,0.008435250005196572,1
ENSG00000010818,-0.18077491712327776,0.40828341747977903,1
