"","GeneID","DetectionFrequency"
"1","ENSG00000000003",0.625
"2","ENSG00000000005",0.5625
"3","ENSG00000000419",0.59375
"4","ENSG00000000457",0.78125
"5","ENSG00000000460",0.75
"6","ENSG00000000938",0.5625
"7","ENSG00000000971",0.6875
"8","ENSG00000001036",0.6875
"9","ENSG00000001084",0.75
"10","ENSG00000001167",0.71875
"11","ENSG00000001460",0.875
"12","ENSG00000001461",0.78125
"13","ENSG00000001497",0.6875
"14","ENSG00000001561",0.71875
"15","ENSG00000001617",0.59375
"16","ENSG00000001626",0.9375
"17","ENSG00000001629",0.90625
"18","ENSG00000001630",0.125
"19","ENSG00000001631",0.6875
"20","ENSG00000002016",0.6875
"21","ENSG00000002079",0.875
"22","ENSG00000002330",0.375
"23","ENSG00000002549",0.84375
"24","ENSG00000002586",0.84375
"25","ENSG00000002587",0.75
"26","ENSG00000002726",0.59375
"27","ENSG00000002745",0.5625
"28","ENSG00000002746",0.84375
"29","ENSG00000002822",0.8125
"30","ENSG00000002834",0.53125
"31","ENSG00000002919",0.75
"32","ENSG00000002933",0.40625
"33","ENSG00000003056",0.75
"34","ENSG00000003096",0.5625
"35","ENSG00000003137",0.65625
"36","ENSG00000003147",0.78125
"37","ENSG00000003249",0.65625
"38","ENSG00000003393",0.9375
"39","ENSG00000003400",0.84375
"40","ENSG00000003402",0.875
"41","ENSG00000003436",0.84375
"42","ENSG00000003509",0.625
"43","ENSG00000003756",0.75
"44","ENSG00000003987",0.6875
"45","ENSG00000003989",0.8125
"46","ENSG00000004059",0.34375
"47","ENSG00000004139",0.375
"48","ENSG00000004142",0.6875
"49","ENSG00000004399",0.65625
"50","ENSG00000004455",0.84375
"51","ENSG00000004468",0.8125
"52","ENSG00000004478",0.65625
"53","ENSG00000004487",0.875
"54","ENSG00000004534",0.75
"55","ENSG00000004660",0.71875
"56","ENSG00000004700",0.625
"57","ENSG00000004766",0.875
"58","ENSG00000004776",0.3125
"59","ENSG00000004777",0.4375
"60","ENSG00000004779",0.5625
"61","ENSG00000004799",0.75
"62","ENSG00000004809",0.78125
"63","ENSG00000004838",0.5
"64","ENSG00000004846",0.875
"65","ENSG00000004848",0.40625
"66","ENSG00000004864",0.84375
"67","ENSG00000004866",0.71875
"68","ENSG00000004897",0.875
"69","ENSG00000004939",0.84375
"70","ENSG00000004948",0.71875
"71","ENSG00000004961",0.625
"72","ENSG00000004975",0.40625
"73","ENSG00000005001",0.40625
