gene,log2FC,p_value,p_adj
ENSG00000252316,-11.3458987053279,1.2637798713082248e-57,5.823876780949693e-53
ENSG00000201861,-9.76806710403303,1.0471145828921065e-47,4.825418132341694e-43
ENSG00000201098,-10.015632494207583,8.708898731218886e-47,4.013321802307598e-42
ENSG00000201413,-8.611588772146838,1.8392511408977482e-45,8.475821032599091e-41
ENSG00000199839,-8.287265167917186,2.373096027110256e-42,1.0935938421732197e-37
ENSG00000202354,-9.856456598776209,1.120423902119462e-41,5.163249468137118e-37
ENSG00000210077,-8.414129057234735,1.612582773258244e-33,7.431265194005968e-29
ENSG00000061455,-2.657822881879974,3.3043044554326265e-31,1.5227226221970173e-26
ENSG00000172992,-3.091309931149834,9.412755163631278e-28,4.337679962056202e-23
ENSG00000130032,-1.8709892406410875,1.8343258921277674e-26,8.4531240086923905e-22
ENSG00000201096,-7.229934561006292,3.180012138379586e-26,1.4654449937294647e-21
ENSG00000114739,-2.1185486641719966,5.288276420765378e-26,2.436996422981309e-21
ENSG00000102287,-1.933933754354801,2.689374114628597e-23,1.2393442732442964e-18
ENSG00000188536,-4.32985487571416,1.1435537147151415e-21,5.269838583521786e-17
ENSG00000277048,-3.297794538771573,1.6747128147516123e-21,7.717579064219856e-17
ENSG00000231609,-2.822990703887598,2.4617411100444494e-21,1.1344441557417835e-16
ENSG00000163359,-1.5890225313496087,8.680249613796876e-21,4.000119429526015e-16
ENSG00000200291,-6.722316690070812,9.360838483008806e-20,4.313755198124948e-15
ENSG00000210195,7.476239581723898,1.1782550555660637e-19,5.429752772565092e-15
ENSG00000222604,-4.085925198105341,1.1544580203111228e-18,5.320088894999747e-14
ENSG00000210082,-2.878671715417985,1.1225025923837947e-17,5.172828696482242e-13
ENSG00000205542,-3.2541706112461077,1.622192143583439e-17,7.475548055275561e-13
ENSG00000067066,-1.1140531641625655,2.9469101209914344e-17,1.3580245910564828e-12
ENSG00000201185,-4.930488253508216,2.0154142632265023e-16,9.28763354922669e-12
ENSG00000156508,-2.0181363159083308,2.7941045983880353e-16,1.287607222075158e-11
ENSG00000199994,-4.570087994525371,4.2241511603886193e-16,1.9466155792418876e-11
ENSG00000244642,-4.708845886657896,7.771669343767405e-16,3.5814183836883326e-11
ENSG00000274012,-3.512203420446622,1.1414199302014312e-15,5.260005464347256e-11
ENSG00000211459,-2.54925544102953,1.2004671992494474e-15,5.5321129943012286e-11
ENSG00000070808,2.9808067209375686,1.2471992816854764e-15,5.7474684497911805e-11
ENSG00000133703,2.767950699646041,2.7534980188732564e-15,1.2688944920373626e-10
ENSG00000232035,6.128329165146191,1.3108884230615182e-14,6.040967119994392e-10
ENSG00000236138,-2.121964354402846,1.5191806018655825e-13,7.000839967577164e-9
ENSG00000128340,4.141251113955308,2.321465951450421e-13,1.0698011544068976e-8
ENSG00000240869,-5.237589548724817,2.7819875985388376e-13,1.2820233450346525e-8
ENSG00000145642,-2.676655884567563,4.630211428836049e-13,2.1337403327505164e-8
ENSG00000281344,0.606542544003966,5.20158387687459e-13,2.397045897980117e-8
ENSG00000244734,-2.3173425938494034,7.909815909266269e-13,3.6450804654671755e-8
ENSG00000280921,-4.400552058377782,9.331239346968414e-13,4.300115028263454e-8
ENSG00000199523,-5.494646897532867,1.2833016390189049e-12,5.913838943090818e-8
ENSG00000202187,-5.927434332141989,1.971886945239728e-12,9.087046609748239e-8
ENSG00000199585,-5.60392420298143,1.517998656926744e-11,6.995393210715515e-7
ENSG00000163736,-2.467501550946742,3.1718671468121745e-11,1.4616915372654544e-6
ENSG00000187514,-1.985889776900466,5.643522798865679e-11,2.6007046114012707e-6
ENSG00000211950,-3.3037393364133623,6.338005681151974e-11,2.9207431580452645e-6
ENSG00000166888,-1.3414141410317255,6.80023010352272e-11,3.1337500386063746e-6
ENSG00000108349,-1.1736124186168717,2.848515050381582e-10,1.3126811906673445e-5
ENSG00000202538,-3.541159466269421,2.3834484364382196e-9,1.0983645429638248e-4
ENSG00000201822,-5.122560329935088,3.122893335751402e-9,1.4391229359143185e-4
ENSG00000177954,-3.2811854073580844,5.457514976122196e-9,2.5149866264463915e-4
